Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
1972-07,Price,0.0391,,,,Pounds per litre
1995-10,Volume,,1163.0,,,Million litres
2010-01,Price,0.24670000000000003,,,,Pounds per litre
1983-07,Price,0.1374,,,,Pounds per litre
1994-07,Price,0.24059999999999998,,,,Pounds per litre
1971-06,Price,0.0326,,,,Pounds per litre
1982-06,Price,0.1358,,,,Pounds per litre
1996-11,Volume,,1030.0,,,Million litres
2020-11,Price,0.3065,,,,Pounds per litre
1993-06,Price,0.18539999999999998,,,,Pounds per litre
1997-01,Volume,,1148.0,,,Million litres
1970-05,Price,0.028999999999999998,,,,Pounds per litre
1981-05,Price,0.126,,,,Pounds per litre
1997-12,Volume,,1140.0,,,Million litres
2007-09,Price,0.2314,,,,Pounds per litre
1992-05,Price,0.17079999999999998,,,,Pounds per litre
1998-02,Volume,,1060.0,,,Million litres
2018-09,Price,0.3061,,,,Pounds per litre
1980-04,Price,0.1247,,,,Pounds per litre
1991-04,Price,0.1804,,,,Pounds per litre
2006-08,Price,0.17600000000000002,,,,Pounds per litre
2017-08,Price,0.2907,,,,Pounds per litre
1999-03,Volume,,1232.0,,,Million litres
2005-07,Price,0.18059999999999998,,,,Pounds per litre
1990-03,Price,0.1791,,,,Pounds per litre
2016-07,Price,0.20800000000000002,,,,Pounds per litre
2004-06,Price,0.1728,,,,Pounds per litre
2001-09,Protein,,,3.42,,Percentage
2015-06,Price,0.23829999999999998,,,,Pounds per litre
2012-09,Protein,,,3.29,,Percentage
2003-05,Price,0.15990000000000001,,,,Pounds per litre
2017-10,Volume,,1191.0,,,Million litres
2014-05,Price,0.32280000000000003,,,,Pounds per litre
2006-10,Volume,,1072.0,,,Million litres
2000-08,Protein,,,3.31,,Percentage
2011-08,Protein,,,3.26,,Percentage
2002-04,Price,0.1598,,,,Pounds per litre
2018-11,Volume,,1174.0,,,Million litres
2007-11,Volume,,1014.0,,,Million litres
2013-04,Price,0.3009,,,,Pounds per litre
2010-07,Protein,,,3.22,,Percentage
2019-01,Volume,,1266.0,,,Million litres
2008-01,Volume,,1101.0,,,Million litres
2019-12,Volume,,1226.0,,,Million litres
2001-03,Price,0.1788,,,,Pounds per litre
1974-09,Price,0.0582,,,,Pounds per litre
1985-09,Price,0.1646,,,,Pounds per litre
2008-12,Volume,,1048.0,,,Million litres
2012-03,Price,0.2865,,,,Pounds per litre
1996-09,Price,0.266,,,,Pounds per litre
1990-02,Price,0.1812,,,,Pounds per litre
2013-09,Protein,,,3.33,,Percentage
2005-06,Price,0.17300000000000001,,,,Pounds per litre
2016-06,Price,0.19949999999999998,,,,Pounds per litre
2001-08,Protein,,,3.29,,Percentage
2016-10,Volume,,1109.0,,,Million litres
2004-05,Price,0.16940000000000002,,,,Pounds per litre
2005-10,Volume,,1077.0,,,Million litres
2012-08,Protein,,,3.22,,Percentage
1994-11,Volume,,1102.0,,,Million litres
2015-05,Price,0.2414,,,,Pounds per litre
2017-11,Volume,,1171.0,,,Million litres
2000-07,Protein,,,3.29,,Percentage
2006-11,Volume,,1032.0,,,Million litres
2003-04,Price,0.1684,,,,Pounds per litre
2011-07,Protein,,,3.23,,Percentage
2014-04,Price,0.33299999999999996,,,,Pounds per litre
2018-01,Volume,,1234.0,,,Million litres
2007-01,Volume,,1130.0,,,Million litres
2018-12,Volume,,1241.0,,,Million litres
1975-09,Price,0.0885,,,,Pounds per litre
2007-12,Volume,,1069.0,,,Million litres
2002-03,Price,0.18,,,,Pounds per litre
2010-06,Protein,,,3.25,,Percentage
2019-02,Volume,,1156.0,,,Million litres
2013-03,Price,0.3007,,,,Pounds per litre
1986-09,Price,0.1721,,,,Pounds per litre
